Entity_ID,EntitySize,NAICS_before,Industry_before,NAICS_after,Industry_After
1515842	54	621	"50 - 99 Ambulatory Health Care Services"	621399	"50 - 99 Offices of All Other Miscellaneous Health Practitioners"
1515874	533	54	"500 - 2499 Professional, Scientific, and Technical Services"	541330	"500 - 2499 Engineering Services"
1516033	170	54	"100 - 499 Professional, Scientific, and Technical Services"	541110	"100 - 499 Offices of Lawyers"
1516518	87	441	"50 - 99 Motor Vehicle and Parts Dealers"	441110	"50 - 99 New Car Dealers"
1517371	231	441	"100 - 499 Motor Vehicle and Parts Dealers"	441110	"100 - 499 New Car Dealers"
1517374	94	441	"50 - 99 Motor Vehicle and Parts Dealers"	441110	"50 - 99 New Car Dealers"
1517664	128	621	"100 - 499 Ambulatory Health Care Services"	621999	"100 - 499 All Other Miscellaneous Ambulatory Health Care Services"
1517827	6936	54	"2500+ Professional, Scientific, and Technical Services"	541519	"500+ Other Computer Related Services"
1518441	188	621	"100 - 499 Ambulatory Health Care Services"	621399	"100 - 499 Offices of All Other Miscellaneous Health Practitioners"
1518478	221	325	"100 - 499 Chemical Manufacturing"	325412	"100 - 499 Pharmaceutical Preparation Manufacturing"
1518691	1788	54	"500 - 2499 Professional, Scientific, and Technical Services"	541330	"500 - 2499 Engineering Services"
1519019	100	238	"100 - 499 Specialty Trade Contractors"	238990	"100 - 499 All Other Specialty Trade Contractors"
1518788	56	61	"50 - 99 Educational Services"	611699	"50 - 99 All Other Miscellaneous Schools and Instruction"
1519198	709	525	"500 - 2499 Funds, Trusts, and Other Financial Vehicles"	525110	"100 - 2499 Pension Funds"
1519355	50	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1519460	528	322	"500 - 2499 Paper Manufacturing"	3221	"500+ Pulp"
1519690	749	4238	"500 - 2499 Machinery, Equipment, and Supplies Merchant Wholesalers"	423840	"500+ Industrial Supplies Merchant Wholesalers"
1519794	1301	4246	"500+ Chemical and Allied Products Merchant Wholesalers"	424690	"100+ Other Chemical and Allied Products Merchant Wholesalers"
1519978	169	4238	"100 - 499 Machinery, Equipment, and Supplies Merchant Wholesalers"	423830	"100 - 499 Industrial Machinery and Equipment Merchant Wholesalers"
1520173	53	61	"50 - 99 Educational Services"	611110	"50 - 99 Elementary and Secondary Schools"
1520352	176	61	"100 - 499 Educational Services"	611110	"100 - 499 Elementary and Secondary Schools"
1521527	715	621	"500 - 2499 Ambulatory Health Care Services"	621493	"100+ Freestanding Ambulatory Surgical and Emergency Centers"
1521889	11957	561	"2500+ Administrative and Support Services"	561510	"500+ Travel Agencies"
1522959	1426	321	"500+ Wood Product Manufacturing"	321999	"100 - 2499 All Other Miscellaneous Wood Product Manufacturing"
1523172	3616	423	"2500+ Merchant Wholesalers, Durable Goods"	423920	"100+ Toy and Hobby Goods and Supplies Merchant Wholesalers"
1524001	133	237	"100 - 499 Heavy and Civil Engineering Construction"	237210	"100 - 2499 Land Subdivision"
1524259	1157	339	"500 - 2499 Miscellaneous Manufacturing"	3399	"500+ Other Miscellaneous Manufacturing"
1525342	653	4238	"500 - 2499 Machinery, Equipment, and Supplies Merchant Wholesalers"	423840	"500+ Industrial Supplies Merchant Wholesalers"
1525307	334	522	"100 - 499 Credit Intermediation and Related Activities"	522110	"100 - 499 Commercial Banking"
1526297	65	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1526612	96	531	"50 - 99 Real Estate"	531210	"50 - 99 Offices of Real Estate Agents and Brokers"
1527056	658	524	"500 - 2499 Insurance Carriers and Related Activities"	524210	"500 - 2499 Insurance Agencies and Brokerages"
1527836	66	339	"50 - 99 Miscellaneous Manufacturing"	339999	"50 - 99 All Other Miscellaneous Manufacturing"
1527932	99	61	"50 - 99 Educational Services"	611110	"50 - 99 Elementary and Secondary Schools"
1528025	89	485	"50 - 99 Transit and Ground Passenger Transportation"	485999	"50 - 99 All Other Transit and Ground Passenger Transportation"
1528131	54	561	"50 - 99 Administrative and Support Services"	561	"50 - 99 Administrative and Support Services"
1528307	89	61	"50 - 99 Educational Services"	611110	"50 - 99 Elementary and Secondary Schools"
1528495	68	61	"50 - 99 Educational Services"	611110	"50 - 99 Elementary and Secondary Schools"
1528508	71	339	"50 - 99 Miscellaneous Manufacturing"	339999	"50 - 99 All Other Miscellaneous Manufacturing"
1528929	66	336	"50 - 99 Transportation Equipment Manufacturing"	336	"50 - 99 Transportation Equipment Manufacturing"
1529218	1180	316	"500+ Leather and Allied Product Manufacturing"	316	"500+ Leather and Allied Product Manufacturing"
1530699	1406	54	"500 - 2499 Professional, Scientific, and Technical Services"	541940	"100 - 2499 Veterinary Services"
1531644	307	621	"100 - 499 Ambulatory Health Care Services"	621999	"100 - 499 All Other Miscellaneous Ambulatory Health Care Services"
1531792	530	61	"500 - 2499 Educational Services"	611310	"500 - 2499 Colleges"
1531052	943	325	"500 - 2499 Chemical Manufacturing"	325998	"100+ All Other Miscellaneous Chemical Product and Preparation Manufacturing"
1531294	4146	621	"2500+ Ambulatory Health Care Services"	621111	"2500+ Offices of Physicians (except Mental Health Specialists)"
1531313	64	54	"50 - 99 Professional, Scientific, and Technical Services"	5411	"50 - 99 Legal Services"
1533447	589	339	"500 - 2499 Miscellaneous Manufacturing"	339999	"500+ All Other Miscellaneous Manufacturing"
1534092	68	54	"50 - 99 Professional, Scientific, and Technical Services"	54161	"50 - 99 Management Consulting Services"
1534103	537	54	"500 - 2499 Professional, Scientific, and Technical Services"	541330	"500 - 2499 Engineering Services"
1534422	105	54	"100 - 499 Professional, Scientific, and Technical Services"	541990	"100 - 499 All Other Professional"
1534776	1203	561	"500 - 2499 Administrative and Support Services"	5614	"100+ Business Support Services"
1535072	806	54	"500 - 2499 Professional, Scientific, and Technical Services"	541690	"100 - 2499 Other Scientific and Technical Consulting Services"
1535301	97	54	"50 - 99 Professional, Scientific, and Technical Services"	54171	"50 - 99 Research and Development in the Physical"
1535871	1137	335	"500 - 2499 Electrical Equipment, Appliance, and Component Manufacturing"	3352	"100+ Household Appliance Manufacturing"
1535928	205	54	"100 - 499 Professional, Scientific, and Technical Services"	541110	"100 - 499 Offices of Lawyers"
1536206	56	238	"50 - 99 Specialty Trade Contractors"	238220	"50 - 99 Plumbing"
1536271	655	621	"500 - 2499 Ambulatory Health Care Services"	62151	"100+ Medical and Diagnostic Laboratories"
1536850	272	334	"100 - 499 Computer and Electronic Product Manufacturing"	33411	"100+ Computer and Peripheral Equipment Manufacturing"
1536356	68	531	"50 - 99 Real Estate"	531311	"50 - 99 Residential Property Managers"
1537332	180	4236	"100 - 499 Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"	423690	"100+ Other Electronic Parts and Equipment Merchant Wholesalers"
1537431	910	22	"500 - 2499 Utilities"	221122	"500 - 2499 Electric Power Distribution"
1537451	101	531	"100 - 499 Real Estate"	531210	"100 - 499 Offices of Real Estate Agents and Brokers"
1537485	775	332	"500 - 2499 Fabricated Metal Product Manufacturing"	3327	"100+ Machine Shops; Turned Product; and Screw"
1538003	58	54	"50 - 99 Professional, Scientific, and Technical Services"	54161	"50 - 99 Management Consulting Services"
